業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
〇,,平安典礼　セレモニーホール白山,ヘイアンテンレイ　セレモニーホールハクサン,9902446,山形市白山1-12-10,,2021/6/3,山形市,38.2264365,140.3194632
〇,,平安典礼　セレモニーホール山形,ヘイアンテンレイ　セレモニーホールヤマガタ,9902492,山形市鉄砲町2-21-25,,2021/6/9,山形市,38.2351407,140.3362756
〇,,ベニ,ベニ,9900039,山形市香澄町1-11-11,,2021/7/8,山形市,38.24948918,140.330791
〇,,Pero,ペロ,9902435,山形市青田4-9-26,,2021/9/27,山形市,38.22315659,140.3292211
〇,,宝来寿司,ホウライスシ,9900039,山形市香澄町1-9-5,,2021/10/1,山形市,38.2488753,140.3297091
〇,,BOTA　coffee,ボタコーヒー,9900042,山形市七日町2-7-18,,2021/6/3,山形市,38.25354714,140.3401903
〇,,北海道レストラン別邸　嶋北店,ホッカイドウレストランベッテイ　シマキタテン,9900885,山形市嶋北2-5-78-1,,2021/6/21,山形市,38.28509544,140.3182069
〇,,ホテルメトロポリタン山形　ブラッスリー＆バー　「ラ　ガレ」,ホテルメトロポリタンヤマガタ　ブラッスリーアンドバー　ラ　ガレ,9900039,山形市香澄町1-1-1,,2021/5/10,山形市,38.24835444,140.327812
〇,,ホテルメトロポリタン山形　日本料理・鉄板焼　「最上亭」,ホテルメトロポリタンヤマガタ　二ホンリョウリ・テッパンヤキ　モガミテイ,9900039,山形市香澄町1-1-1,,2021/5/10,山形市,38.24843027,140.3277409
〇,,Bonheur（ボヌール）,ボヌール,9902321,山形市みはらしの丘4-15-40,,2021/6/4,山形市,38.18303234,140.2894801
〇,,ボルドー,ボルドー,9900042,山形市七日町2-1-26,,2021/9/10,山形市,38.25189935,140.3402413
〇,,ホルモン・冷麺　MAIDO,ホルモン　レイメン　マイド,9900042,山形市七日町2-3-4,,2021/6/21,山形市,38.2517707,140.3403838
〇,,ホルモン居酒屋　てんま分店,ホルモンイザカヤ　テンマブンテン,9900828,山形市双葉町2-1-71,,2021/9/16,山形市,38.25041151,140.3216002
〇,,ぽろぽろかん工房　カフェレストランいの和,ポロポロカンコウボウ　カフェレストランイノワ,9902232,山形市大字下東山997-1,,2021/6/29,山形市,38.30071069,140.3948412
〇,,ボンシュール,ボンシュール,9902163,山形市伊達城1-6-6,,2021/6/21,山形市,38.3097968,140.3630083
〇,,本町金六,ホンチョウキンロク,9900043,山形市本町2-1-20,1F,2021/5/31,山形市,38.25003738,140.3378041
〇,,本場ちゃんこ関取,ホンバチャンコセキトリ,9900042,山形市七日町2-3-30,,2021/9/17,山形市,38.25136995,140.340541
〇,,マーガレット,マーガレット,9900042,山形市七日町4-7-2,,2021/6/25,山形市,38.2526264,140.3436219
〇,,マーキガルニ,マーキガルニ,9900039,山形市香澄町2-1-2,,2021/5/28,山形市,38.24790811,140.3305981
〇,,MERCY(マーシー),マーシー,9900031,山形市十日町4-1-7,パークサイドフローリストビル3F,2021/9/9,山形市,38.2461662,140.3335707
〇,,マグダレンカ,マグダレンカ,9900823,山形市下条町2-4-16,,2021/6/25,山形市,38.26278602,140.3246767
〇,,まぐろ亭いのまた,マグロテイイノマタ,9900042,山形市七日町2-3-12,ホーユービル2F,2021/5/26,山形市,38.25210664,140.3409553
〇,,まぐろ処凪,マグロドコロナギ,9900071,山形市流通センター2-3,,2021/11/10,山形市,38.29004375,140.3554811
