業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
,〇,四季の森「しらい自然館」,シキノモリ「シライシゼンカン」,9998304,遊佐町白井新田字見晴野21,,2021/7/2,遊佐町,39.0379042,139.95534
,〇,四季の宿　まごろく,シキノヤド　マゴロク,9996211,最上町大字大堀1001,,2021/6/23,最上町,38.7541242,140.4119253
,〇,四季の宿松屋,シキノヤドマツヤ,9960301,大蔵村大字南山498,,2021/6/4,大蔵村,38.60734365,140.1665737
,〇,地蔵の湯旅館,ジゾウノユリョカン,9980043,酒田市本町3-3-11,,2021/9/8,酒田市,38.91361683,139.8348257
,〇,しまづ旅館,シマヅリョカン,9993153,上山市十日町1-10,,2021/9/8,上山市,38.1556687,140.2772083
〇,〇,宿泊食堂　利久,シュクハクショクドウ　リキュウ,9902301,山形市蔵王温泉34,,2021/6/14,山形市,38.16795507,140.3965785
,〇,宿坊　神林勝金,シュクボウ　カンバヤシカツカネ,9970211,鶴岡市羽黒町手向字手向３,,2021/11/25,鶴岡市,38.70528392,139.9645934
,〇,SHONAI HOTEL SUIDEN TERRASSE,ショウナイホテル　スイデンテラス,9970053,鶴岡市北京田下鳥ノ巣23‐1,,2021/10/25,鶴岡市,38.74646667,139.8222041
,〇,松伯亭あづま荘,ショウハクテイアヅマソウ,9940024,天童市鎌田2-2-1,,2021/8/10,天童市,38.35791929,140.3872326
,〇,昭和館,ショウワカン,9994333,尾花沢市大字銀山新畑420,,2021/10/20,尾花沢市,38.56986041,140.5311473
,〇,食彩の宿　おくやま,ショクサイノヤド　オクヤマ,9960025,新庄市若葉町14-6,新庄市若葉町14-6,2021/8/31,新庄市,38.76107321,140.3018118
,〇,白川温泉　白川荘,シラカワオンセン　シラカワソウ,9990424,飯豊町大字数馬218-1,,2021/10/22,飯豊町,37.92958062,139.9003051
〇,〇,しらさぎ荘,シラサギソウ,9990605,飯豊町大字添川3020-5,,2021/10/22,飯豊町,38.03474927,140.0140962
,〇,白布温泉　東屋,シラブオンセン　ヒガシヤ,9921472,米沢市大字関1537,,2021/9/24,米沢市,37.78004191,140.1198136
,〇,新高湯温泉　吾妻屋旅館,シンタカユオンセン　アヅマヤリョカン,9921472,米沢市大字関3934,,2021/9/24,米沢市,37.77151316,140.1322675
,〇,スーパーホテル山形駅西口天然温泉,スーパーホテルヤマガタエキニシグチテンネンオンセン,9900828,山形市双葉町1-10-18,,2021/6/29,山形市,38.2469543,140.3227416
,〇,スーパーホテル山形 さくらんぼ東根駅前,スーパーホテルヤマガタサクランボヒガシネエキマエ,9993720,東根市さくらんぼ駅前2-17-21,,2021/5/20,東根市,38.4283927,140.3851697
,〇,スーパーホテル山形・鶴岡,スーパーホテルヤマガタツルオカ,9970011,鶴岡市宝田1-8-51,,2021/9/9,鶴岡市,38.74147707,139.8315221
,〇,鈴の宿　登府屋旅館,スズノヤド　トウフヤリョカン,9920076,米沢市小野川町2493,,2021/6/15,米沢市,37.88069319,140.0541364
,〇,ステイインホテルズ　材木栄屋,ステイインホテルズ　ザイモクサカエヤ,9993141,上山市新湯6-11,,2021/9/22,上山市,38.1581523,140.2723146
,〇,青松館,セイショウカン,9993702,東根市温泉町1-20-1,,2021/11/5,東根市,38.45663652,140.3946524
,〇,石亭　小松,セキテイ　コマツ,9993702,東根市温泉町2-11-1,,2021/7/29,東根市,38.46035908,140.3917386
,〇,仙峡の宿　銀山荘,センキョウノヤド　ギンザンソウ,9994333,尾花沢市大字銀山新畑85,,2021/9/24,尾花沢市,38.57225824,140.5283995
,〇,仙渓園　月岡ホテル,センケイエン　ツキオカホテル,9993141,上山市新湯1-33,,2021/6/28,上山市,38.1580529,140.2739343
,〇,仙荘　湯田川,センソウユタガワ,9970752,鶴岡市湯田川乙13,,2021/5/14,鶴岡市,38.69264229,139.7692575
,〇,セントラルホテル,セントラルホテル,9960023,新庄市沖の町10-4,,2021/6/1,新庄市,38.76375125,140.3013751
,〇,だいちゃん農園ゲストハウス,ダイチャンノウエンゲストハウス,9901302,朝日町大字玉ノ井丁202,,2021/7/29,朝日町,38.3259906,140.1562586
,〇,大二館,ダイニカン,9993702,東根市温泉町2-10-1,,2021/10/11,東根市,38.4592769,140.3924931
〇,〇,大丸屋旅館／Daimaruya CAFE,ダイマルヤリョカン／ダイマルヤカフェ,9901442,朝日町大字宮宿1178,,2021/12/7,朝日町,38.30162193,140.1496615
,〇,ダイワロイネットホテル山形駅前,ダイワロイネットホテルヤマガタエキマエ,9900038,山形市幸町2-9,,2021/12/14,山形市,38.24742012,140.3296996
,〇,高砂屋旅館,タカサゴヤリョカン,9920076,米沢市小野川町2427,,2021/12/6,米沢市,37.879921,140.055144
,〇,鷹野湯温泉　パレス松風,タカノユオンセン　パレスショウフウ,9920821,白鷹町十王5687-8,,2021/9/9,白鷹町,38.19470261,140.1113166
,〇,タガマヤ村,タガマヤムラ,9900406,中山町柳沢41,,2021/10/8,中山町,38.32699084,140.255065
,〇,タカミヤビレッジホテル樹林,タカミヤビレッジホテルジュリン,9902301,山形市蔵王温泉上ノ台814,,2021/5/31,山形市,38.1697334,140.4009823
,〇,高見屋最上川別邸紅,タカミヤモガミガワベッテイベニ,9996401,戸沢村古口3058,,2021/9/14,戸沢村,38.7660987,140.053166
,〇,たかみや瑠璃倶楽リゾート,タカミヤルリクラリゾート,9902301,山形市蔵王温泉三度川1118-7,,2021/9/22,山形市,38.16128044,140.3939476
,〇,田代館,タシロカン,9996105,最上町大字富澤892,,2021/7/16,最上町,38.71205401,140.5538256
〇,〇,田代地区多目的交流館　(たしろ亭),タシロチクタモクタキコウリョウカン　タシロテイ,9900503,寒河江市大字田代370-1,,2021/7/15,寒河江市,38.4484937,140.2335539
,〇,タスパークホテル,タスパークホテル,9930011,長井市館町北6-27,,2021/7/19,長井市,38.101389,140.0433253
,〇,たちばなや,タチバナヤ,9997204,鶴岡市湯温海丁3,,2021/7/27,鶴岡市,38.61538463,139.6056166
,〇,玉乃屋,タマノヤ,9960301,大蔵村大字南山466-6,,2021/7/29,大蔵村,38.60850096,140.1669493
,〇,珠玉や,タマヤ,9970752,鶴岡市湯田川乙39,,2021/8/5,鶴岡市,38.69301819,139.7695002
